Date,Amount,Vendor,Service,Category,Paid_By
1/1/2024,"$4,800.00",Atlassian,Annual Team License - Jira & Confluence,Software,Employee Card
1/2/2024,"$5,200.00",Digital Ocean,Cloud Hosting and Infrastructure,Utilities,Department Card
1/5/2024,"$25,000.00",ADP,January Payroll - Development Team,Wages,Direct Deposit
1/5/2024,"$3,800.00",Regus,Office Space - Monthly Rent,Rent or Lease,Department Card
1/5/2024,"$8,500.00",ADP,January Payroll - Management Team,Wages,Direct Deposit
1/5/2024,"$6,500.00",ADP,January Payroll - Design Team,Wages,Direct Deposit
1/10/2024,"$1,800.00",Hartford Business,General Liability Insurance - Monthly,Insurance,Corporate Card
1/15/2024,"$2,500.00",LinkedIn,Premium Job Postings,Advertising,Corporate Card
1/15/2024,"$1,200.00",Indeed,Job Postings,Advertising,Corporate Card
1/15/2024,"$3,500.00",Meta,Social Media Marketing,Advertising,Department Card
1/20/2024,"$1,500.00",Apple Developer,Annual Developer Program - Enterprise,Software,Corporate Card
1/20/2024,"$2,500.00",Slack,Annual Enterprise License,Software,Corporate Card
1/25/2024,$980.00,Adobe,Creative Cloud Enterprise License,Software,Petty Cash
1/31/2024,"$4,500.00",Developer Contractors,Contract Development Work,Contract Labor,Corporate Card
2/1/2024,"$5,200.00",Digital Ocean,Cloud Hosting and Infrastructure,Utilities,Employee Card
2/5/2024,"$25,000.00",ADP,February Payroll - Development Team,Wages,Direct Deposit
2/5/2024,"$8,500.00",ADP,February Payroll - Management Team,Wages,Direct Deposit
2/5/2024,"$6,500.00",ADP,February Payroll - Design Team,Wages,Direct Deposit
2/5/2024,"$3,800.00",Regus,Office Space - Monthly Rent,Rent or Lease,Petty Cash
2/10/2024,"$1,800.00",Hartford Business,General Liability Insurance - Monthly,Insurance,Department Card
2/15/2024,"$3,500.00",Pluralsight,Annual Team Training Subscription,Professional Development,Employee Card
2/15/2024,"$3,500.00",Meta,Social Media Marketing,Advertising,Corporate Card
2/20/2024,"$1,850.00",MongoDB,Database Service - Enterprise Plan,Utilities,Department Card
2/28/2024,"$4,500.00",Developer Contractors,Contract Development Work,Contract Labor,Corporate Card
3/1/2024,"$5,200.00",Digital Ocean,Cloud Hosting and Infrastructure,Utilities,Corporate Card
3/5/2024,"$25,000.00",ADP,March Payroll - Development Team,Wages,Direct Deposit
3/5/2024,"$8,500.00",ADP,March Payroll - Management Team,Wages,Direct Deposit
3/5/2024,"$6,500.00",ADP,March Payroll - Design Team,Wages,Direct Deposit
3/5/2024,"$3,800.00",Regus,Office Space - Monthly Rent,Rent or Lease,Petty Cash
