Date,Amount,Invoice_Number,Project,Service,Client,Tool,Payment_Status,Payment_Method
1/1/2024,"$4,800.00",2001,ClinicalFlow Portal,Website Maintenance,MediCorp Systems,WordPress,Paid,Bank Transfer
1/2/2024,"$32,000.00",2002,PatientConnect EHR,Web App Build,HealthFirst Network,RIL Stack,Paid,Bank Transfer
1/3/2024,"$28,500.00",2003,CareTrack Mobile,Mobile App Build,CarePoint Solutions,React Native,Pending,PayPal
1/5/2024,"$45,000.00",2004,MedScheduler Pro,Web App Build,RegionalCare Health,RIL Stack,Paid,Bank Transfer
1/7/2024,"$3,500.00",2005,ClinicSite Plus,Accessibility Audit,LocalCare Medical,WordPress,Paid,Credit Card
1/10/2024,"$22,000.00",2006,DoctorConnect Hub,Website Development,PrimaryCare Group,RIL Stack,Paid,Bank Transfer
1/12/2024,"$2,500.00",2007,HealthTech Roadmap,Strategy Meeting,MedTech Innovations,Meeting,Paid,Check
1/15/2024,"$8,500.00",2008,MedicalCMS Pro,Performance Audit,Healthcare Solutions,Wrag Stack,Pending,Credit Card
1/18/2024,"$42,000.00",2009,InsureTech Platform,Web App Build,InsureWise Corp,RIL Stack,Paid,Bank Transfer
1/20/2024,"$4,800.00",2010,ClaimPortal Plus,Website Maintenance,ClaimsCare Inc,WordPress,Overdue,PayPal
1/22/2024,"$38,500.00",2011,BenefitsTrack App,Mobile App Build,BenefitSmart Solutions,React Native,Paid,Bank Transfer
1/25/2024,"$18,800.00",2012,InsuranceFlow CRM,Website Development,InsurePro Services,Wrag Stack,Paid,Credit Card
1/28/2024,"$3,200.00",2013,RiskTech Strategy,Strategy Meeting,RiskManage Corp,Meeting,Partially Paid,Check
2/1/2024,"$52,000.00",2014,ClaimsGenius Portal,New Website Build,ClaimsTech Solutions,RIL Stack,Paid,Bank Transfer
2/3/2024,"$5,500.00",2015,PolicyManager Pro,Accessibility Audit,PolicyTech Corp,WordPress,Pending,PayPal
2/5/2024,"$48,500.00",2016,UnderwritePro System,Web App Build,UnderwriteSmart Inc,RIL Stack,Paid,Bank Transfer
2/8/2024,"$4,200.00",2017,InsureAnalytics Hub,Website Maintenance,AnalyticsPro Insurance,Wrag Stack,Paid,Credit Card
2/10/2024,"$35,500.00",2018,BrokerConnect App,Mobile App Build,BrokerTech Solutions,React Native,Overdue,Bank Transfer
2/12/2024,"$7,200.00",2019,InsureTech Metrics,Performance Audit,MetricsPro Insurance,Wrag Stack,Paid,PayPal
2/15/2024,"$41,000.00",2020,PolicyGenius CRM,Website Development,PolicySmart Corp,RIL Stack,Paid,Bank Transfer
2/18/2024,"$4,800.00",2021,ClaimsTrack System,Website Maintenance,TrackSmart Claims,WordPress,Paid,Credit Card
2/20/2024,"$39,000.00",2022,BenefitsGenius Hub,Web App Build,BenefitsTech Corp,RIL Stack,Pending,Bank Transfer
2/22/2024,"$3,800.00",2023,InsuranceOps Plan,Strategy Meeting,OpsSmart Insurance,Meeting,Paid,Check
2/25/2024,"$28,500.00",2024,RiskAnalytics Pro,New Website Build,RiskTech Solutions,RIL Stack,Paid,Bank Transfer
3/1/2024,"$5,200.00",2025,PolicyFlow Portal,Accessibility Audit,FlowTech Insurance,WordPress,Overdue,PayPal
3/3/2024,"$45,000.00",2026,ClaimsTech Suite,Web App Build,ClaimsSmart Systems,RIL Stack,Paid,Bank Transfer
3/5/2024,"$8,900.00",2027,InsureMetrics Pro,Performance Audit,MetricsTech Insurance,Wrag Stack,Paid,Credit Card
3/8/2024,"$32,500.00",2028,BrokerFlow System,Website Development,BrokerSmart Solutions,RIL Stack,Pending,Bank Transfer
